LEM,POL
à-vontade,positive
abafada,negative
abafadas,negative
abafado,negative
abafados,negative
abafante,negative
abafantes,negative
abaixada,negative
abaixadas,negative
abaixado,negative
abaixados,negative
abalada,negative
abaladas,negative
abalado,negative
abalados,negative
abalizada,positive
abalizadas,positive
abalizado,positive
abalizados,positive
abalroa,neutral
abalroá,neutral
abalroada,negative
abalroadas,negative
abalroado,negative
abalroados,negative
abalroai,neutral
abalroais,neutral
abalroam,neutral
abalroámo,neutral
abalroamo,neutral
abalroámos,neutral
abalroamos,neutral
abalroando,neutral
abalroar,neutral
abalroará,neutral
abalroara,neutral
abalroaram,neutral
abalroáramo,neutral
abalroáramos,neutral
abalroarão,neutral
abalroarás,neutral
abalroaras,neutral
abalroarde,neutral
abalroardes,neutral
abalroare,neutral
abalroarei,neutral
abalroárei,neutral
abalroareis,neutral
abalroáreis,neutral
abalroarem,neutral
abalroaremos,neutral
abalroares,neutral
abalroaria,neutral
abalroariam,neutral
abalroaríamos,neutral
abalroarias,neutral
abalroaríeis,neutral
abalroarmo,neutral
abalroarmos,neutral
abalroas,neutral
abalroasse,neutral
abalroásseis,neutral
abalroassem,neutral
abalroássemos,neutral
abalroasses,neutral
abalroaste,neutral
abalroastes,neutral
abalroava,neutral
abalroavam,neutral
abalroávamo,neutral
abalroávamos,neutral
abalroavas,neutral
abalroávei,neutral
abalroáveis,neutral
abalroe,neutral
abalroei,neutral
abalroeis,neutral
abalroem,neutral
abalroemo,neutral
abalroemos,neutral
abalroes,neutral
abalroo,neutral
abalroou,neutral
abana,neutral
abaná,neutral
abanado,neutral
abanai,neutral
abanais,neutral
abanam,neutral
abanámo,neutral
abanamo,neutral
abanámos,neutral
abanamos,neutral
abanando,neutral
abanar,neutral
abanará,neutral
abanara,neutral
abanaram,neutral
abanáramo,neutral
abanáramos,neutral
abanarão,neutral
abanarás,neutral
abanaras,neutral
abanarde,neutral
abanardes,neutral
abanare,neutral
abanarei,neutral
abanárei,neutral
abanareis,neutral
abanáreis,neutral
abanarem,neutral
abanaremos,neutral
abanares,neutral
abanaria,neutral
abanariam,neutral
abanaríamos,neutral
abanarias,neutral
abanaríeis,neutral
abanarmo,neutral
abanarmos,neutral
abanas,neutral
abanasse,neutral
abanásseis,neutral
abanassem,neutral
abanássemos,neutral
abanasses,neutral
abanaste,neutral
abanastes,neutral
abanava,neutral
abanavam,neutral
abanávamo,neutral
abanávamos,neutral
abanavas,neutral
abanávei,neutral
abanáveis,neutral
abandalhada,negative
abandalhadas,negative
abandalhado,negative
abandalhados,negative
abandalhamento,negative
abandona,negative
abandoná,negative
abandonada,negative
abandonadas,negative
abandonado,negative
abandonados,negative
abandonai,negative
abandonais,negative
abandonam,negative
abandonámo,negative
abandonamo,negative
abandonámos,negative
abandonamos,negative
abandonando,negative
abandonar,negative
abandonará,negative
abandonara,negative
abandonaram,negative
abandonáramo,negative
abandonáramos,negative
abandonarão,negative
abandonarás,negative
abandonaras,negative
abandonarde,negative
abandonardes,negative
abandonare,negative
abandonarei,negative
abandonárei,negative
abandonareis,negative
abandonáreis,negative
abandonarem,negative
abandonaremos,negative
abandonares,negative
abandonaria,negative
abandonariam,negative
abandonaríamos,negative
abandonarias,negative
abandonaríeis,negative
abandonarmo,negative
abandonarmos,negative
abandonas,negative
abandonasse,negative
abandonásseis,negative
abandonassem,negative
abandonássemos,negative
abandonasses,negative
abandonaste,negative
abandonastes,negative
abandonava,negative
abandonavam,negative
abandonávamo,negative
abandonávamos,negative
abandonavas,negative
abandonávei,negative
abandonáveis,negative
abandone,negative
abandonei,negative
abandoneis,negative
abandonem,negative
abandonemo,negative
abandonemos,negative
abandones,negative
abandono,negative
abandonou,negative
abane,neutral
abanei,neutral
abaneis,neutral
abanem,neutral
abanemo,neutral
abanemos,neutral
abanes,neutral
abano,neutral
abanou,neutral
abarcante,neutral
abarcantes,neutral
abarrotada,negative
abarrotadas,negative
abarrotado,negative
abarrotados,negative
abastada,positive
abastadas,positive
abastado,positive
abastados,positive
abastecida,neutral
abastecidas,neutral
abastecido,neutral
abastecidos,neutral
abata,neutral
abatais,neutral
abatam,neutral
abatamo,neutral
abatamos,neutral
abatas,neutral
abate,neutral
abatê,neutral
abatei,neutral
abateis,neutral
abatem,neutral
abatemo,neutral
abatemos,neutral
abatendo,neutral
abater,neutral
abaterá,neutral
abatera,neutral
abateram,neutral
abatêramo,neutral
abatêramos,neutral
abaterão,neutral
abaterás,neutral
abateras,neutral
abaterde,neutral
abaterdes,neutral
abatere,neutral
abaterei,neutral
abatêrei,neutral
abatereis,neutral
abatêreis,neutral
abaterem,neutral
abateremos,neutral
abateres,neutral
